"series","subject","block","n_reps","mean","ci_lower","ci_upper","block_start_day","scenario"
"mean_queue","R2E intensive care",7,30,0.881022376077259,0.588350706427827,1.17369404572669,181,"moderate_intensity"
"mean_queue","R2E intensive care",8,30,0.744448829825191,0.439513678122898,1.04938398152748,211,"moderate_intensity"
"mean_queue","R2E intensive care",9,30,1.45186368774772,0.241942514147945,2.66178486134749,241,"moderate_intensity"
"mean_queue","R2E intensive care",10,30,1.09755426052171,0.362873632982319,1.8322348880611,271,"moderate_intensity"
"mean_queue","R2E intensive care",11,30,2.07589873390133,-0.0499729476981017,4.20177041550077,301,"moderate_intensity"
"mean_queue","R2E intensive care",12,30,1.39180817254538,0.607991728522638,2.17562461656812,331,"moderate_intensity"
"mean_queue","R2E operating theatres",1,30,1.68057402116413,0.672779358631158,2.68836868369711,1,"moderate_intensity"
"mean_queue","R2E operating theatres",2,30,1.57104366865192,0.933429829894731,2.20865750740912,31,"moderate_intensity"
"mean_queue","R2E operating theatres",3,30,2.38540774530698,1.3371271360151,3.43368835459886,61,"moderate_intensity"
"mean_queue","R2E operating theatres",4,30,1.45711047375692,0.967386878758268,1.94683406875557,91,"moderate_intensity"
"mean_queue","R2E operating theatres",5,30,2.63961151528175,1.29480910363053,3.98441392693297,121,"moderate_intensity"
"mean_queue","R2E operating theatres",6,30,1.74390065111601,0.991338982787661,2.49646231944436,151,"moderate_intensity"
"mean_queue","R2E operating theatres",7,30,2.59371191581995,1.61645614618282,3.57096768545707,181,"moderate_intensity"
"mean_queue","R2E operating theatres",8,30,1.92654195326004,1.12728303512893,2.72580087139116,211,"moderate_intensity"
"mean_queue","R2E operating theatres",9,30,2.23537261971178,1.30184928500167,3.16889595442188,241,"moderate_intensity"
"mean_queue","R2E operating theatres",10,30,2.3256467991823,1.23861358074803,3.41268001761657,271,"moderate_intensity"
"mean_queue","R2E operating theatres",11,30,2.28436779417995,1.42130680022385,3.14742878813605,301,"moderate_intensity"
"mean_queue","R2E operating theatres",12,30,2.36296789869046,0.896444194676327,3.8294916027046,331,"moderate_intensity"
"occupancy","R2B holding beds",1,30,0.749504493274847,0.734737474919708,0.764271511629987,1,"moderate_intensity"
"occupancy","R2B holding beds",2,30,0.794408083927353,0.784369296815197,0.804446871039508,31,"moderate_intensity"
"occupancy","R2B holding beds",3,30,0.78246299240459,0.773166857019344,0.791759127789835,61,"moderate_intensity"
"occupancy","R2B holding beds",4,30,0.789785850755836,0.778814004534775,0.800757696976897,91,"moderate_intensity"
"occupancy","R2B holding beds",5,30,0.790580587327529,0.778505426445403,0.802655748209656,121,"moderate_intensity"
"occupancy","R2B holding beds",6,30,0.777594010832422,0.764341693243773,0.790846328421072,151,"moderate_intensity"
"occupancy","R2B holding beds",7,30,0.794868634037646,0.783732029704118,0.806005238371174,181,"moderate_intensity"
"occupancy","R2B holding beds",8,30,0.779256895662736,0.764210293991699,0.794303497333772,211,"moderate_intensity"
"occupancy","R2B holding beds",9,30,0.789237927103879,0.781387812234359,0.797088041973399,241,"moderate_intensity"
"occupancy","R2B holding beds",10,30,0.797397630894785,0.785063692414234,0.809731569375335,271,"moderate_intensity"
"occupancy","R2B holding beds",11,30,0.797301529523244,0.7877848150245,0.806818244021989,301,"moderate_intensity"
"occupancy","R2B holding beds",12,30,0.772411285020797,0.75484316188203,0.789979408159563,331,"moderate_intensity"
