"decisions","boarded","queued_at_end","mean_wait_days","p90_wait_days","mean_wait_critical","mean_wait_standard","sorties_scheduled","sorties_flown","cancellation_rate","role4_peak","role4_peak_day","role4_peak_after_end","hold_total_bed_days","hold_evac_bed_days","hold_recovery_bed_days","hold_post_definitive_bed_days","hold_post_op_bed_days","hold_unexplained_bed_days","hold_evac_share","ventilated_holds","ventilated_hold_hours","replication","setting","value","arm","scenario"
144,144,0,0.503728572514691,2,0.519211430526444,0.484375,4,4,0,92,30,0,313.784347001738,58,185.060404130649,55.8432061158661,14.8807367552234,0,0.184840322833818,13,24.4934138369744,40,"shipped",0,"baseline","moderate_intensity"
142,141,1,0.750819264808079,3,0.906500187792405,0.5,4,4,0,92,24,-6,320.382304553924,91,143.280575152516,68.9346241966861,17.1671052047224,5.6843418860808e-14,0.284035662102816,14,24.2975770047427,41,"shipped",0,"baseline","moderate_intensity"
160,159,1,0.53810094582794,3,0.473457069420026,0.626865671641791,4,4,0,98,30,0,351.806709892615,74,175.906544218845,78.627264887384,23.2729007863864,5.6843418860808e-14,0.210342776073224,10,24.5182108063722,42,"shipped",0,"baseline","moderate_intensity"
156,153,3,1.1287883461209,4.99882475060259,1.54590169478885,0.532912133738121,4,4,0,94,30,0,540.178148252618,135,299.294622745354,89.9677600812847,15.9157654259797,1.13686837721616e-13,0.249917551157338,12,25.6949413486931,43,"shipped",0,"baseline","moderate_intensity"
139,138,1,0.313499974953224,1.04006136716896,0.216106008235528,0.402777777777778,4,4,0,76,29,-1,276.820849193439,37,178.77127539577,47.0236173183885,14.0259564792811,0,0.133660452627775,6,24.6912609224075,44,"shipped",0,"baseline","moderate_intensity"
195,195,0,0.773156444391228,2.95176193987036,1.17988022029991,0.108108108108108,4,4,0,122,30,0,466.380658423154,122,210.197474649917,108.282142341242,25.9010414319953,0,0.261588892670818,22,22.0196662672041,45,"shipped",0,"baseline","moderate_intensity"
166,165,1,0.78848316513525,4,0.789356336784763,0.787237611458739,4,4,0,116,26,-4,377.488608069978,102,177.900898697504,77.9663883157547,19.6213210567186,5.6843418860808e-14,0.270206829608727,17,22.9869613968279,46,"shipped",0,"baseline","moderate_intensity"
142,142,0,0.923837531311481,4,0.953259241167355,0.874431263817655,4,4,0,84,28,-2,457.912585552775,100,262.489995853203,79.0927041637438,16.3298855358284,0,0.218382292068439,13,24.6303725344734,47,"shipped",0,"baseline","moderate_intensity"
155,153,2,0.802265208578877,3,0.769479093771519,0.857483928254428,4,4,0,92,26,-4,460.444564691118,100,267.832791998634,73.9501753926609,18.6615972998223,-5.6843418860808e-14,0.217181410463784,6,25.537810060572,48,"shipped",0,"baseline","moderate_intensity"
148,148,0,0.328618809762346,1.28709093603433,0.471165656644233,0.151515151515152,4,4,0,93,27,-3,380.325385141138,31,268.081040043,65.3379000198268,15.9064450783115,-5.6843418860808e-14,0.0815091529809296,14,23.8383888468471,49,"shipped",0,"baseline","moderate_intensity"
147,147,0,0.379473710040549,1.01369488832858,0.479308859951333,0.25,4,4,0,91,26,-4,455.938844663757,31,334.703160652369,69.3484849433295,20.8871990680592,0,0.0679915746658122,14,22.9467103065079,50,"shipped",0,"baseline","moderate_intensity"
252,242,10,2.06353125009605,5,2.82817708006341,1.08247622296812,4,4,0,160,30,0,785.184523492082,302,251.681234387835,180.496370290549,51.006918813699,-1.13686837721616e-13,0.384622965639803,24,58.7386257389921,1,"shipped",0,"high","high_intensity"
269,226,43,2.46807679588025,5,2.81966139863699,2.06291739651297,4,4,0,141,30,0,816.670969859284,308.750886558484,300.448680785519,189.270304979538,44.9519840942273,-26.7508865584839,0.378060317990344,11,65.7988912952901,2,"shipped",0,"high","high_intensity"
259,228,31,2.7139237137432,5.43737875612529,3.18404474935002,2.00615907771974,4,4,0,148,30,0,816.028559375646,331.025983357546,259.661075651517,200.821103604061,51.5463801200684,-27.025983357546,0.40565489964079,13,70.597581336232,3,"shipped",0,"high","high_intensity"
241,219,22,1.77913703679437,5,2.06983043682754,1.32086744144794,4,4,0,149,29,-1,744.005429771226,234,280.056229936618,185.966148036874,43.9830517977339,0,0.314513833685263,21,43.8931899681921,4,"shipped",0,"high","high_intensity"
289,238,51,3.98431549318698,6,4.72794543608042,3.00965488842375,4,4,0,159,30,0,839.898743007908,345,248.196833611375,194.341058367035,52.3608510294981,0,0.410763800841588,9,96.3043584836453,5,"shipped",0,"high","high_intensity"
262,225,37,2.62425983174645,5.21474240328166,2.99437662311824,1.96627442486328,4,4,0,166,30,0,780.529589913399,298.47356406215,217.719997023897,209.140051735634,55.1959770917182,0,0.382398781441798,15,86.0457824858842,6,"shipped",0,"high","high_intensity"
262,227,35,2.67735282526583,5.05448987806287,3.2495522174445,1.8822968277123,4,4,0,160,29,-1,802.106867307856,305,251.567745316227,200.836033477534,44.7030885140953,0,0.380248583363566,20,72.4700059409138,7,"shipped",0,"high","high_intensity"
