"stage","replication","day","n_decisions","daily_rate","cumulative_rate","intensity"
"Stabilisation",4,30,2,1,0.8984375,"Moderate intensity"
"Stabilisation",5,1,7,0.428571428571429,0.428571428571429,"Moderate intensity"
"Stabilisation",5,2,4,0,0.272727272727273,"Moderate intensity"
"Stabilisation",5,3,4,0.25,0.266666666666667,"Moderate intensity"
"Stabilisation",5,4,4,1,0.421052631578947,"Moderate intensity"
"Stabilisation",5,5,3,0.666666666666667,0.454545454545455,"Moderate intensity"
"Stabilisation",5,6,1,0,0.434782608695652,"Moderate intensity"
"Stabilisation",5,7,3,0,0.384615384615385,"Moderate intensity"
"Stabilisation",5,8,1,0,0.37037037037037,"Moderate intensity"
"Stabilisation",5,9,2,0.5,0.379310344827586,"Moderate intensity"
"Stabilisation",5,10,1,1,0.4,"Moderate intensity"
"Stabilisation",5,11,1,0,0.387096774193548,"Moderate intensity"
"Stabilisation",5,12,3,0,0.352941176470588,"Moderate intensity"
"Stabilisation",5,13,1,0,0.342857142857143,"Moderate intensity"
"Stabilisation",5,14,1,0,0.333333333333333,"Moderate intensity"
"Stabilisation",5,15,6,0.333333333333333,0.333333333333333,"Moderate intensity"
"Stabilisation",5,16,6,0.333333333333333,0.333333333333333,"Moderate intensity"
"Stabilisation",5,17,3,0.666666666666667,0.352941176470588,"Moderate intensity"
"Stabilisation",5,18,2,1,0.377358490566038,"Moderate intensity"
"Stabilisation",5,19,5,0.2,0.362068965517241,"Moderate intensity"
"Stabilisation",5,20,5,0.8,0.396825396825397,"Moderate intensity"
"Stabilisation",5,21,0,NA,0.396825396825397,"Moderate intensity"
"Stabilisation",5,22,3,0.333333333333333,0.393939393939394,"Moderate intensity"
"Stabilisation",5,23,1,1,0.402985074626866,"Moderate intensity"
"Stabilisation",5,24,0,NA,0.402985074626866,"Moderate intensity"
"Stabilisation",5,25,4,0.25,0.394366197183099,"Moderate intensity"
"Stabilisation",5,26,4,0,0.373333333333333,"Moderate intensity"
"Stabilisation",5,27,1,0,0.368421052631579,"Moderate intensity"
"Stabilisation",5,28,7,0.285714285714286,0.36144578313253,"Moderate intensity"
"Stabilisation",5,29,4,1,0.390804597701149,"Moderate intensity"
"Stabilisation",5,30,2,0.5,0.393258426966292,"Moderate intensity"
"Stabilisation",6,1,0,NA,NA,"Moderate intensity"
"Stabilisation",6,2,5,0.2,0.2,"Moderate intensity"
"Stabilisation",6,3,1,1,0.333333333333333,"Moderate intensity"
"Stabilisation",6,4,1,1,0.428571428571429,"Moderate intensity"
"Stabilisation",6,5,1,0,0.375,"Moderate intensity"
"Stabilisation",6,6,4,0,0.25,"Moderate intensity"
"Stabilisation",6,7,2,1,0.357142857142857,"Moderate intensity"
"Stabilisation",6,8,9,0.555555555555556,0.434782608695652,"Moderate intensity"
"Stabilisation",6,9,5,0.8,0.5,"Moderate intensity"
"Stabilisation",6,10,3,0.333333333333333,0.483870967741935,"Moderate intensity"
"Stabilisation",6,11,3,0.666666666666667,0.5,"Moderate intensity"
"Stabilisation",6,12,0,NA,0.5,"Moderate intensity"
"Stabilisation",6,13,0,NA,0.5,"Moderate intensity"
"Stabilisation",6,14,0,NA,0.5,"Moderate intensity"
"Stabilisation",6,15,2,0,0.472222222222222,"Moderate intensity"
"Stabilisation",6,16,6,0.833333333333333,0.523809523809524,"Moderate intensity"
"Stabilisation",6,17,2,1,0.545454545454545,"Moderate intensity"
"Stabilisation",6,18,5,0.2,0.510204081632653,"Moderate intensity"
"Stabilisation",6,19,3,0.333333333333333,0.5,"Moderate intensity"
"Stabilisation",6,20,1,0,0.490566037735849,"Moderate intensity"
"Stabilisation",6,21,1,0,0.481481481481481,"Moderate intensity"
"Stabilisation",6,22,4,0.25,0.46551724137931,"Moderate intensity"
"Stabilisation",6,23,5,0.8,0.492063492063492,"Moderate intensity"
"Stabilisation",6,24,2,0,0.476923076923077,"Moderate intensity"
"Stabilisation",6,25,1,0,0.46969696969697,"Moderate intensity"
"Stabilisation",6,26,2,0,0.455882352941176,"Moderate intensity"
"Stabilisation",6,27,2,0,0.442857142857143,"Moderate intensity"
"Stabilisation",6,28,0,NA,0.442857142857143,"Moderate intensity"
"Stabilisation",6,29,6,0.333333333333333,0.434210526315789,"Moderate intensity"
"Stabilisation",6,30,2,0.5,0.435897435897436,"Moderate intensity"
"Stabilisation",7,1,2,0,0,"Moderate intensity"
"Stabilisation",7,2,3,0.333333333333333,0.2,"Moderate intensity"
"Stabilisation",7,3,4,0.5,0.333333333333333,"Moderate intensity"
"Stabilisation",7,4,0,NA,0.333333333333333,"Moderate intensity"
"Stabilisation",7,5,2,0.5,0.363636363636364,"Moderate intensity"
"Stabilisation",7,6,8,1,0.631578947368421,"Moderate intensity"
"Stabilisation",7,7,4,0.5,0.608695652173913,"Moderate intensity"
"Stabilisation",7,8,7,0.428571428571429,0.566666666666667,"Moderate intensity"
"Stabilisation",7,9,2,0.5,0.5625,"Moderate intensity"
"Stabilisation",7,10,3,0.333333333333333,0.542857142857143,"Moderate intensity"
"Stabilisation",7,11,3,0.666666666666667,0.552631578947368,"Moderate intensity"
"Stabilisation",7,12,3,0.333333333333333,0.536585365853659,"Moderate intensity"
"Stabilisation",7,13,4,0.25,0.511111111111111,"Moderate intensity"
"Stabilisation",7,14,1,0,0.5,"Moderate intensity"
"Stabilisation",7,15,0,NA,0.5,"Moderate intensity"
"Stabilisation",7,16,6,0.333333333333333,0.480769230769231,"Moderate intensity"
"Stabilisation",7,17,4,0.25,0.464285714285714,"Moderate intensity"
"Stabilisation",7,18,1,0,0.456140350877193,"Moderate intensity"
"Stabilisation",7,19,3,0,0.433333333333333,"Moderate intensity"
"Stabilisation",7,20,2,0.5,0.435483870967742,"Moderate intensity"
"Stabilisation",7,21,0,NA,0.435483870967742,"Moderate intensity"
"Stabilisation",7,22,1,0,0.428571428571429,"Moderate intensity"
"Stabilisation",7,23,2,0,0.415384615384615,"Moderate intensity"
"Stabilisation",7,24,5,0.2,0.4,"Moderate intensity"
"Stabilisation",7,25,2,0.5,0.402777777777778,"Moderate intensity"
"Stabilisation",7,26,1,0,0.397260273972603,"Moderate intensity"
"Stabilisation",7,27,3,0.666666666666667,0.407894736842105,"Moderate intensity"
"Stabilisation",7,28,4,0.75,0.425,"Moderate intensity"
"Stabilisation",7,29,2,1,0.439024390243902,"Moderate intensity"
"Stabilisation",7,30,6,0.333333333333333,0.431818181818182,"Moderate intensity"
"Stabilisation",8,1,0,NA,NA,"Moderate intensity"
"Stabilisation",8,2,1,0,0,"Moderate intensity"
"Stabilisation",8,3,1,0,0,"Moderate intensity"
"Stabilisation",8,4,3,0,0,"Moderate intensity"
"Stabilisation",8,5,1,1,0.166666666666667,"Moderate intensity"
"Stabilisation",8,6,6,0.666666666666667,0.416666666666667,"Moderate intensity"
"Stabilisation",8,7,3,0.666666666666667,0.466666666666667,"Moderate intensity"
"Stabilisation",8,8,6,0.5,0.476190476190476,"Moderate intensity"
"Stabilisation",8,9,6,0.5,0.481481481481481,"Moderate intensity"
"Stabilisation",8,10,7,0.857142857142857,0.558823529411765,"Moderate intensity"
"Stabilisation",8,11,1,0,0.542857142857143,"Moderate intensity"
"Stabilisation",8,12,0,NA,0.542857142857143,"Moderate intensity"
"Stabilisation",8,13,2,0.5,0.540540540540541,"Moderate intensity"
"Stabilisation",8,14,3,0.333333333333333,0.525,"Moderate intensity"
"Stabilisation",8,15,4,0.75,0.545454545454545,"Moderate intensity"
"Stabilisation",8,16,0,NA,0.545454545454545,"Moderate intensity"
"Stabilisation",8,17,3,0,0.51063829787234,"Moderate intensity"
"Stabilisation",8,18,6,0.666666666666667,0.528301886792453,"Moderate intensity"
"Stabilisation",8,19,9,0.777777777777778,0.564516129032258,"Moderate intensity"
"Stabilisation",8,20,2,1,0.578125,"Moderate intensity"
"Stabilisation",8,21,4,0.5,0.573529411764706,"Moderate intensity"
"Stabilisation",8,22,6,0.5,0.567567567567568,"Moderate intensity"
"Stabilisation",8,23,2,0,0.552631578947368,"Moderate intensity"
"Stabilisation",8,24,7,0.428571428571429,0.542168674698795,"Moderate intensity"
"Stabilisation",8,25,9,0.555555555555556,0.543478260869565,"Moderate intensity"
"Stabilisation",8,26,1,1,0.548387096774194,"Moderate intensity"
"Stabilisation",8,27,3,1,0.5625,"Moderate intensity"
"Stabilisation",8,28,7,0.571428571428571,0.563106796116505,"Moderate intensity"
"Stabilisation",8,29,5,0,0.537037037037037,"Moderate intensity"
"Stabilisation",8,30,2,0,0.527272727272727,"Moderate intensity"
"Stabilisation",9,1,1,0,0,"Moderate intensity"
"Stabilisation",9,2,2,0,0,"Moderate intensity"
"Stabilisation",9,3,7,0.428571428571429,0.3,"Moderate intensity"
"Stabilisation",9,4,3,0,0.230769230769231,"Moderate intensity"
"Stabilisation",9,5,2,1,0.333333333333333,"Moderate intensity"
"Stabilisation",9,6,4,0.75,0.421052631578947,"Moderate intensity"
"Stabilisation",9,7,7,0.571428571428571,0.461538461538462,"Moderate intensity"
"Stabilisation",9,8,4,0.25,0.433333333333333,"Moderate intensity"
"Stabilisation",9,9,0,NA,0.433333333333333,"Moderate intensity"
"Stabilisation",9,10,3,0.333333333333333,0.424242424242424,"Moderate intensity"
"Stabilisation",9,11,4,0.25,0.405405405405405,"Moderate intensity"
"Stabilisation",9,12,2,1,0.435897435897436,"Moderate intensity"
"Stabilisation",9,13,3,1,0.476190476190476,"Moderate intensity"
"Stabilisation",9,14,4,0.5,0.478260869565217,"Moderate intensity"
"Stabilisation",9,15,5,0.2,0.450980392156863,"Moderate intensity"
"Stabilisation",9,16,4,0.25,0.436363636363636,"Moderate intensity"
"Stabilisation",9,17,2,0.5,0.43859649122807,"Moderate intensity"
"Stabilisation",9,18,0,NA,0.43859649122807,"Moderate intensity"
"Stabilisation",9,19,6,0.333333333333333,0.428571428571429,"Moderate intensity"
"Stabilisation",9,20,1,1,0.4375,"Moderate intensity"
"Stabilisation",9,21,2,0.5,0.439393939393939,"Moderate intensity"
"Stabilisation",9,22,3,0.333333333333333,0.434782608695652,"Moderate intensity"
"Stabilisation",9,23,7,0.428571428571429,0.434210526315789,"Moderate intensity"
"Stabilisation",9,24,2,1,0.448717948717949,"Moderate intensity"
"Stabilisation",9,25,3,1,0.469135802469136,"Moderate intensity"
"Stabilisation",9,26,3,1,0.488095238095238,"Moderate intensity"
"Stabilisation",9,27,4,0.25,0.477272727272727,"Moderate intensity"
"Stabilisation",9,28,4,0.25,0.467391304347826,"Moderate intensity"
