"pool","replication","zero_share","longest_busy_days","intensity"
"R2E operating theatres",10,0.431141821771489,11.642019362589,"Moderate intensity"
"R2E operating theatres",11,0.492197134751321,5.97662677048011,"Moderate intensity"
"R2E operating theatres",12,0.758508398455712,4.72787830734365,"Moderate intensity"
"R2E operating theatres",13,0.939191179596462,1.38053263282276,"Moderate intensity"
"R2E operating theatres",14,0.845865732168132,2.38133372397296,"Moderate intensity"
"R2E operating theatres",15,0.720244646298387,4.65265932961525,"Moderate intensity"
"R2E operating theatres",16,0.438319471783868,10.2084875149415,"Moderate intensity"
"R2E operating theatres",17,0.539464547743936,7.46101635786039,"Moderate intensity"
"R2E operating theatres",18,0.417978493709868,12.2277155104031,"Moderate intensity"
"R2E operating theatres",19,0.810009403319655,1.6384161232913,"Moderate intensity"
"R2E operating theatres",20,0.992194675480577,0.098753254876581,"Moderate intensity"
"R2E operating theatres",21,0.870586201734316,1.22543018400492,"Moderate intensity"
"R2E operating theatres",22,0.731849564248835,4.11636704787439,"Moderate intensity"
"R2E operating theatres",23,0.914449648564472,1.82804147929306,"Moderate intensity"
"R2E operating theatres",24,0.980874911730069,0.24360572636358,"Moderate intensity"
"R2E operating theatres",25,0.870370402452527,1.44060112081779,"Moderate intensity"
"R2E operating theatres",26,0.580013868616549,5.50768938697818,"Moderate intensity"
"R2E operating theatres",27,0.826186521917409,3.61889231325684,"Moderate intensity"
"R2E operating theatres",28,0.946706785706405,0.715003890483407,"Moderate intensity"
"R2E operating theatres",29,0.589612893801051,7.64861601923717,"Moderate intensity"
"R2E operating theatres",30,0.552814307407024,6.14235456397969,"Moderate intensity"
"R2E operating theatres",31,0.601173262684339,9.7677488046108,"Moderate intensity"
"R2E operating theatres",32,0.864947980603113,1.49346858987176,"Moderate intensity"
"R2E operating theatres",33,0.469978979198813,10.9530739313387,"Moderate intensity"
"R2E operating theatres",34,0.629808902210892,9.34273759119,"Moderate intensity"
"R2E operating theatres",35,0.561906391342604,6.40514325831841,"Moderate intensity"
"R2E operating theatres",36,0.522417704705144,6.71285584581321,"Moderate intensity"
"R2E operating theatres",37,0.595741368843739,6.47805152577612,"Moderate intensity"
"R2E operating theatres",38,0.885234330750231,2.6598005064196,"Moderate intensity"
"R2E operating theatres",39,0.756797235711425,4.87530728517012,"Moderate intensity"
"R2E operating theatres",40,0.803209410732268,1.67019293410764,"Moderate intensity"
"R2E operating theatres",41,0.926620399784072,0.669463174129401,"Moderate intensity"
"R2E operating theatres",42,0.773882902174426,3.09674660730311,"Moderate intensity"
"R2E operating theatres",43,0.783505725997281,2.46055589915371,"Moderate intensity"
"R2E operating theatres",44,0.917649113394293,1.19140697637577,"Moderate intensity"
"R2E operating theatres",45,0.618899310862936,4.13716984947912,"Moderate intensity"
"R2E operating theatres",46,0.826862040483897,2.51877042447871,"Moderate intensity"
"R2E operating theatres",47,0.914532489435271,1.72235248077997,"Moderate intensity"
"R2E operating theatres",48,0.946790065842792,0.569410356877926,"Moderate intensity"
"R2E operating theatres",49,0.93044374497414,1.39331023887625,"Moderate intensity"
"R2E operating theatres",50,0.795908972489478,4.04963283550364,"Moderate intensity"
