"i","r2b_ot_q","r2e_ot_q","system_ot_q","transport_q","transport_util"
276,0,5.84688390183915,5.84688390183915,0.10613211244408,0.116262520013488
277,0,3.31170521515685,3.31170521515685,0.0532683746151451,0.128729295094262
278,0,8.24291196644034,8.24291196644034,0.15375979305972,0.121987075846966
279,0,1.76076775983802,1.76076775983802,0.0825609594464047,0.163467771978228
280,0,2.87527435042355,2.87527435042355,0.137450566428115,0.106263287770412
281,0,9.98904691220075,9.98904691220075,0.152121612284412,0.119232103445101
282,0,12.900521364117,12.900521364117,0.143605527047757,0.127236610268173
283,0,3.71638340347006,3.71638340347006,0.0837453343031453,0.149501762451919
284,0,6.3341068663051,6.3341068663051,0.112663295821215,0.134913572829376
285,0,3.4207790814658,3.4207790814658,0.00258571135313594,0.21406142485602
286,0,5.52474033623808,5.52474033623808,0.102299913597996,0.105746293006377
287,0,12.7263912335848,12.7263912335848,0.0859135332456403,0.0996531603492742
288,0,17.0823531031622,17.0823531031622,0.234550431969303,0.128991364862922
289,0,0.439249196127812,0.439249196127812,0.00509240922936127,0.171272710333364
290,0,12.8318447538847,12.8318447538847,0.120314537949869,0.11352880762902
291,0,0.892946075634546,0.892946075634546,0.0591126072488267,0.126878265090976
292,0,1.53867675978074,1.53867675978074,0.0299083965565122,0.0964365915216973
293,0,0.305107814157275,0.305107814157275,0.00450385821345942,0.258080576276241
294,0,4.29379466028091,4.29379466028091,0.125178264156199,0.108696043961171
295,0,2.99750787699277,2.99750787699277,0.095963566923105,0.112822323334592
296,0,1.32453789061419,1.32453789061419,0.0472511257111931,0.126928907312161
297,0,17.8103058519233,17.8103058519233,0.132341241467607,0.112568097950765
298,0,4.40909349829312,4.40909349829312,0.101784965507197,0.106114167727042
299,0,10.2725727305819,10.2725727305819,0.138609662781834,0.111836197709922
300,0,0.932190657453147,0.932190657453147,0.0426929299860658,0.138112108841438
301,0,4.32727645181089,4.32727645181089,0.097582977558845,0.11140755680954
302,0,34.8425287241385,34.8425287241385,0.35629144193108,0.157418530767503
303,0,5.26768115429115,5.26768115429115,0.051184954983557,0.0895245846186636
304,0,0.645139338012541,0.645139338012541,0.0231688035849374,0.14483902510367
305,0,1.60056375277665,1.60056375277665,0.027138121411141,0.0932061286935485
306,0,29.2083957698868,29.2083957698868,0.241390914619869,0.146003872805186
307,0,5.63485626693954,5.63485626693954,0.0828848544492619,0.0981840663341315
