"saturation_threshold","response","n_reps","mean","ci_lower","ci_upper"
2,"icu_occupancy",30,0.880393384004364,0.867797542566861,0.892989225441867
2,"icu_mean_queue",30,1.22682433046982,0.692080536009518,1.76156812493013
2,"total_rtd",30,2133.33333333333,2101.4710699127,2165.19559675397
2,"total_dow",30,15.9666666666667,14.2867444580359,17.6465888752974
2,"dispositions",30,2571.93333333333,2516.89773161341,2626.96893505326
2,"in_theatre_share",30,0.11187552020938,0.109190261736811,0.114560778681949
2,"post_definitive_icu_share",30,0.307643405382564,0.291574730874272,0.323712079890856
2,"evac_decisions",30,2312.26666666667,2261.20820072789,2363.32513260545
2,"never_evacuated",30,1.96666666666667,0.88584062555397,3.04749270777936
2,"mean_evac_wait_days",30,0.505060209702124,0.33964930881093,0.670471110593317
2,"role4_sustained",30,95.4703256781378,90.7238540135968,100.216797342679
2,"role4_peak",30,181.133333333333,173.793310242379,188.473356424288
2,"theatre_mean_queue",30,1.99574199383743,0.907811512578101,3.08367247509677
2,"released_unrepaired",30,224.766666666667,205.632987399038,243.900345934295
2,"role4_operations",30,1200.8,1154.29431122933,1247.30568877067
2,"role4_theatre_minutes",30,25840.4056593941,23694.8754684863,27985.9358503019
3,"hold_occupancy",30,0.521497588856358,0.497975914513526,0.54501926319919
3,"hold_mean_queue",30,0.155699112860917,0.0433413894709338,0.2680568362509
3,"icu_occupancy",30,0.882269736326492,0.869213285425494,0.89532618722749
3,"icu_mean_queue",30,1.43347446597425,0.811162636309101,2.05578629563939
3,"total_rtd",30,2140.7,2107.39161396903,2174.00838603097
3,"total_dow",30,15.6,14.1534718303762,17.0465281696238
3,"dispositions",30,2587.43333333333,2521.0789919418,2653.78767472487
3,"in_theatre_share",30,0.110768916108063,0.108415952771506,0.113121879444621
3,"post_definitive_icu_share",30,0.31115242586096,0.291705532645415,0.330599319076505
3,"evac_decisions",30,2328.23333333333,2264.91994990464,2391.54671676203
3,"never_evacuated",30,1.66666666666667,0.755523327464916,2.57781000586842
3,"mean_evac_wait_days",30,0.508973560883305,0.337815722831824,0.680131398934787
3,"role4_sustained",30,97.4430583377443,92.0270808195041,102.859035855984
3,"role4_peak",30,178.7,169.942767501418,187.457232498582
3,"theatre_mean_queue",30,3.21083209672178,1.38577021549356,5.03589397795
3,"released_unrepaired",30,207.966666666667,180.422887956489,235.510445376844
3,"role4_operations",30,1170.36666666667,1104.33964978817,1236.39368354517
3,"role4_theatre_minutes",30,23786.2741272174,20703.5202318772,26869.0280225575
5,"hold_occupancy",30,0.529997702258343,0.503632283726789,0.556363120789897
5,"hold_mean_queue",30,0.382316577098276,0.00547689574504157,0.759156258451511
5,"icu_occupancy",30,0.884793092612447,0.873958302462732,0.895627882762161
5,"icu_mean_queue",30,1.20687521086613,0.82017423828661,1.59357618344566
5,"total_rtd",30,2114.33333333333,2085.94966705501,2142.71699961166
5,"total_dow",30,15.9,14.2996174750437,17.5003825249563
5,"dispositions",30,2536.9,2483.18656343232,2590.61343656768
5,"in_theatre_share",30,0.111569533033657,0.10848543202262,0.114653634044694
5,"post_definitive_icu_share",30,0.319467679795275,0.298921884304979,0.34001347528557
5,"evac_decisions",30,2277.83333333333,2226.78963957127,2328.8770270954
5,"never_evacuated",30,1.46666666666667,0.825633005553695,2.10770032777964
5,"mean_evac_wait_days",30,0.562949961751186,0.171807215337649,0.954092708164722
5,"role4_sustained",30,93.3392767646578,88.7883427802008,97.8902107491148
5,"role4_peak",30,181.166666666667,172.395207482286,189.938125851047
5,"theatre_mean_queue",30,2.3362208003914,1.72967122052492,2.94277038025788
5,"released_unrepaired",30,172.966666666667,148.613201043323,197.320132290011
5,"role4_operations",30,1138.4,1080.99892450439,1195.80107549561
5,"role4_theatre_minutes",30,19791.7783365733,17023.9678907743,22559.5887823723
8,"hold_occupancy",30,0.518510073475634,0.493339707420068,0.5436804395312
