"hold_occupancy","hold_mean_queue","icu_occupancy","icu_mean_queue","total_rtd","total_dow","dispositions","in_theatre_share","post_definitive_icu_share","evac_decisions","never_evacuated","mean_evac_wait_days","role4_sustained","role4_peak","theatre_mean_queue","released_unrepaired","role4_operations","role4_theatre_minutes","replication","saturation_threshold"
0.50674441225734,0.16378882170561,0.878549679622483,0.712514284959026,2230,17,2685,0.122160148975791,0.277745496804184,2387,0,0.527874392480422,91.265625,159,2.60670449594983,224,1266,26249.0608609556,11,5
0.556288559958221,0.670127895488692,0.928132862313565,4.05778830784084,2237,18,2757,0.10373594486761,0.278390297684675,2497,6,0.434736934473468,121.134920634921,183,4.4011205349233,268,1283,30233.430143673,12,5
0.592034144883761,0.0564260988724359,0.867831889716105,0.417753084240466,2181,16,2589,0.121282348397065,0.338541666666667,2295,1,0.450001115545039,84.109375,179,1.03062099987723,122,940,15094.6292874181,13,5
0.559769971115202,0.486165055323824,0.879810329446621,0.693487389985289,2180,17,2662,0.111570247933884,0.29463243873979,2391,0,0.38043710463261,86.9541984732824,197,2.01659419961906,247,1238,28133.8410659946,14,5
0.635577615563917,2.61119597601805,0.916922536024703,2.10909386213989,2182,16,2549,0.123577873675951,0.332574031890661,2257,5,0.308238105725045,108.507936507937,186,3.60030277065706,137,1091,15174.4191675187,15,5
0.483772175043314,0.0165763315339701,0.863347644884198,0.369503743706922,2148,25,2652,0.105203619909502,0.320133853876185,2403,1,0.554294498168994,87.96,226,1.40564601685268,184,1278,21845.4277133587,16,5
0.646376687896173,0.498705358611929,0.885559618633283,1.03023538944038,2046,9,2322,0.116279069767442,0.381011867582761,2068,1,0.256162048785731,88.3255813953488,146,1.43816512177496,98,919,10967.8834781387,17,5
0.524544707465303,0,0.87361228822331,0.752112254461999,2123,19,2568,0.107476635514019,0.323682686740012,2319,1,0.344177861152946,88.1209677419355,165,1.78742425502689,188,1202,21928.0473038746,18,5
0.531698506060481,0,0.875092525904353,0.506916799175124,2067,13,2450,0.106938775510204,0.346987951807229,2200,0,0.276113640722511,91.9268292682927,164,1.11605408805748,147,1001,16685.3799528105,19,5
0.480385228856492,0,0.832150960486973,0.753479812264142,2150,17,2577,0.121459060923555,0.287744227353464,2289,1,0.932155490068464,80.0634920634921,212,1.94359479765477,230,1234,26944.6131900918,20,5
0.43822981588136,0,0.894475713420775,1.51611867070062,1973,13,2415,0.101863354037267,0.342771084337349,2187,2,0.308524515281737,90.0894308943089,171,2.40365812950033,163,1117,17844.9697896722,21,5
0.711626098018384,0.643168306745506,0.933828462069856,2.87899905882262,2229,16,2682,0.109619686800895,0.277469478357381,2419,1,0.407761557141228,115.078125,177,4.70272674916672,208,1283,23094.3731765769,22,5
0.396955516852271,0,0.819548039376318,0.221007251123756,1981,9,2263,0.124613345117101,0.405526992287918,1999,1,0.19515851824391,68.4,148,0.551145309676216,66,920,7680.57460954221,23,5
0.593307738826966,5.0242999077929,0.924583701231099,3.65718625415086,2159,10,2525,0.127128712871287,0.317922374429224,2228,0,0.409868247867128,95.531746031746,172,2.54617602605761,81,1003,9459.79927384358,24,5
0.447771621628785,0,0.881828176439208,1.31675710095967,2096,16,2458,0.0947925142392189,0.368949232585596,2243,0,0.243533328747276,101.537878787879,191,2.70821534267988,112,1061,13138.4602189156,25,5
0.541910161097979,0,0.866428936761554,0.60628706253312,2140,19,2623,0.110179184140297,0.27891156462585,2361,3,0.341670891186397,93.4761904761905,216,1.39356014924509,250,1317,27715.6913497653,26,5
0.569325272633458,0.228659591498563,0.897812293215113,0.933641556066026,2098,20,2542,0.11801730920535,0.323599523241955,2261,2,0.406475405945255,87.4887218045113,228,2.08503722823681,182,1232,21580.5740634812,27,5
0.444434060497585,0,0.839090535002611,0.44710285762951,2002,11,2363,0.104104951333051,0.352087114337568,2146,1,0.284383453832801,89.968253968254,183,1.36707506033382,137,969,15563.5615873196,28,5
0.549033506014052,0.00733962847405407,0.896453912818387,1.33865232222506,2044,17,2446,0.103434178250204,0.34282253179891,2220,4,0.3336758631778,100.811023622047,194,3.56259011043079,185,1171,21644.9086603436,29,5
0.500856812925021,0.0167800114788631,0.892784812943802,0.663049327157099,2031,28,2510,0.105179282868526,0.346358792184725,2259,6,0.278350403596822,92.9296875,163,2.24461540372839,156,1078,17879.0166090839,30,5
