"policy_days","hold_occupancy","hold_mean_queue","icu_occupancy","icu_mean_queue","total_rtd","total_dow","dispositions","in_theatre_share","post_definitive_icu_share","evac_decisions","never_evacuated","mean_evac_wait_days","role4_sustained","role4_peak","theatre_mean_queue","released_unrepaired","role4_operations","role4_theatre_minutes","replication","hold_beds"
21,0.434721355786751,0,0.871442059892685,0.382469475995984,2114,12,2570,0.109338521400778,0.333696243875885,2313,0,0.243704339399706,84.3409090909091,165,1.19265558267473,94,1139,10885.9215169945,12,NA
21,0.475554412444378,0,0.907168265050994,0.930012680905232,2190,16,2715,0.114548802946593,0.272630457933972,2431,1,0.563464195646355,106.18253968254,172,3.82222200488139,161,1330,18798.6506724663,13,NA
21,0.441540650919055,0.602081143377639,0.862304562485066,0.515158906437365,2094,17,2597,0.100885637273777,0.275287356321839,2356,0,1.05727970422899,84.491935483871,220,2.1703063666985,203,1289,22515.7506082169,14,NA
21,0.506206154963469,0,0.864288384369044,0.686285869213247,2148,13,2554,0.120986687548943,0.348219332956473,2276,12,0.246498705681666,89.0551181102362,165,2.87791247804154,118,1009,12010.5502293328,15,NA
21,0.567185819834466,0.0725850089685012,0.875223201136789,0.561917452651733,2111,11,2502,0.113109512390088,0.330840046029919,2244,0,0.334374541793158,100.809523809524,204,2.14134978839626,148,1117,16997.039143097,16,NA
21,0.560076893261537,0,0.890398188073856,1.14130177095364,2084,12,2658,0.104589917231001,0.308929561841375,2399,0,0.25949027743494,106.776923076923,188,4.58080373245991,162,1214,18278.9034045998,17,NA
21,0.533863532050049,0.258445488856715,0.870038287705535,0.53666079309205,2184,15,2524,0.112916006339144,0.340604026845638,2255,4,0.309681333658914,96.0327868852459,190,1.90110460347319,118,1160,12456.0656478176,18,NA
21,0.59507368782457,0.706531056766284,0.885651068959787,0.700070885401914,2114,11,2609,0.113836719049444,0.332958380202475,2337,0,0.307070708171137,100.754098360656,182,2.71229390696486,146,1059,15821.6487945044,19,NA
21,0.563468903326167,0.171233069861756,0.879580179914512,0.770752843297895,2171,16,2589,0.112398609501738,0.334084507042254,2313,1,0.271504296360952,100.161290322581,193,2.38852158148019,111,978,12861.4110401941,20,NA
21,0.527910103695494,0,0.85365400651755,1.30247923013277,2125,7,2514,0.118138424821002,0.346242774566474,2241,0,0.294970799398039,88.952,181,3.14737738728932,146,1089,16998.1505277991,21,NA
21,0.443378215388494,0.184539400176111,0.864071081178186,0.469700462544874,2084,14,2414,0.104805302402651,0.369487485101311,2182,0,0.35080858922978,90.712,191,1.62253362462688,131,1116,15251.8693040036,22,NA
21,0.496363378579379,0.246183013671177,0.831273114264259,0.265355401836842,1978,10,2190,0.131963470319635,0.439763001974984,1914,0,0.160043787930043,77.1074380165289,136,1.29976661380745,22,758,2366.66413221785,23,NA
21,0.629911755954233,0.653979186619162,0.858937359084907,0.347203584165374,2224,11,2655,0.11939736346516,0.314109742441209,2355,0,0.451640553075229,92.0731707317073,220,1.69418939831115,197,1269,23262.9690501218,24,NA
21,0.472254699606529,0,0.871877839602071,0.386688979982228,2063,17,2439,0.105371053710537,0.37989479836353,2198,1,0.208035310668911,89.4961240310078,162,0.963580085490681,82,907,9727.01011815737,25,NA
21,0.706231736935923,1.11005061005443,0.939684683068745,3.222877209317,2205,23,2767,0.111311890133719,0.283761618370694,2484,8,0.427721484015856,113.356589147287,214,5.19430880762061,189,1199,21415.7297525508,26,NA
21,0.547305917324059,0,0.889664979570942,1.12762785876684,2062,15,2566,0.116913484021824,0.348327566320646,2295,0,0.250047454280423,98.5725806451613,167,3.50617519767775,127,986,14417.7715675196,27,NA
21,0.534404436180388,0,0.886930733937255,0.837820960502413,2218,17,2802,0.113133476088508,0.256819351518271,2509,2,0.701256616158932,96.1,183,2.40863729554985,173,1250,20497.5720770662,28,NA
21,0.494914436739776,0.0923679821665307,0.900452548361366,0.640190772212573,2053,17,2302,0.105560382276281,0.405319822672578,2077,2,0.219385911459964,102.967741935484,165,1.55927389243049,60,739,6771.23591030671,29,NA
21,0.521627453279845,0.0737582569680555,0.876960196645428,0.886030945861597,2098,15,2744,0.108236151603499,0.23464305478694,2471,0,1.11393512639342,94.755905511811,190,1.70196060061463,250,1230,29241.4399006039,30,NA
