"response","from","to","n_pairs","difference","ci_lower","ci_upper","p_value","reps_needed"
"theatre_mean_queue",0,8,30,-5.7798372597155,-10.0162736591416,-1.54340086028936,0.00921176286624941,495
"icu_occupancy",0,8,30,-0.00260940333815584,-0.0183499515738239,0.0131311448975122,0.737015187373542,69
"post_definitive_icu_share",0,8,30,-0.023918064289152,-0.0428195894423213,-0.00501653913598274,0.0149280295418994,99
"released_unrepaired",0,8,30,140.966666666667,122.317106125974,159.61622720736,1.53897961587567e-15,9583
"role4_operations",0,8,30,180.466666666667,115.280655646481,245.652677686852,4.03867412061321e-06,117070
"role4_peak",0,8,30,10.6,0.901052734677981,20.298947265322,0.033267242845861,104
"total_dow",0,8,30,-0.3,-2.74593551311953,2.14593551311953,0.803697070486119,165
"total_rtd",0,8,30,-13.7333333333333,-55.2827255439469,27.8160588772802,0.504389924316936,476
"theatre_mean_queue",0,12,30,-5.18470448378843,-9.50480166424667,-0.864607303330198,0.0203453763246927,515
"icu_occupancy",0,12,30,-0.00215234468281944,-0.0193322190076102,0.0150275296419713,0.799580410905555,82
"post_definitive_icu_share",0,12,30,-0.0176301068099223,-0.0446862298944857,0.00942601627464117,0.193008270480512,202
"released_unrepaired",0,12,30,91.1666666666667,66.7641703206251,115.569163012708,2.00409372858429e-08,16406
"role4_operations",0,12,30,115.6,47.0055663910267,184.194433608973,0.00175287089140424,129632
"role4_peak",0,12,30,3,-7.40512638138816,13.4051263813882,0.559972242373235,120
"total_dow",0,12,30,-0.366666666666667,-2.87727101549109,2.14393768215776,0.767298930366218,174
"total_rtd",0,12,30,-12.8666666666667,-48.7427135429461,23.0093802096128,0.469138713732975,355
"theatre_mean_queue",0,16,30,-4.19242391087744,-8.82361897400441,0.438771152249524,0.0743112677572685,591
"icu_occupancy",0,16,30,0.00442162663045268,-0.0105504288519916,0.0193936821128969,0.550534542343756,62
"post_definitive_icu_share",0,16,30,-0.00805032374517746,-0.0241260152675139,0.00802536777715898,0.314207781705245,72
"released_unrepaired",0,16,30,71.5,53.9898866257075,89.0101133742925,3.31965187646105e-09,8448
"role4_operations",0,16,30,88.6333333333333,23.6385074223132,153.628159244353,0.00924000904815562,116384
"role4_peak",0,16,30,11.7333333333333,-0.594699549834187,24.0613662165009,0.0613317759583778,168
"total_dow",0,16,30,0.433333333333333,-1.58034764713267,2.44701431379934,0.663111426405115,112
"total_rtd",0,16,30,-4.4,-40.1449889034965,31.3449889034965,0.803005374473186,353
"theatre_mean_queue",0,24,30,-3.85893843697774,-7.86302722526393,0.145150351308438,0.0583238442838242,442
"icu_occupancy",0,24,30,-0.0048246526935617,-0.0190837057277966,0.00943440034067321,0.494429875789056,57
"post_definitive_icu_share",0,24,30,-0.00467961443220607,-0.0202226054115623,0.0108633765471502,0.542850327339657,67
"released_unrepaired",0,24,30,37.1333333333333,23.3897996753253,50.8768669913414,5.88786877383645e-06,5204
"role4_operations",0,24,30,65.7333333333333,21.4099784363839,110.056688230283,0.00506163560917455,54126
"role4_peak",0,24,30,8,-0.865193093497506,16.8651930934975,0.0751790743832092,87
"total_dow",0,24,30,-0.433333333333333,-1.90648409226785,1.03981742560119,0.552106519143733,60
"total_rtd",0,24,30,-13.7,-44.3252931430392,16.9252931430392,0.367779629061448,259
