"scenario","scenario_label","resource","n_reps","mean_q","sd_q","p10_q","p90_q","max_q","ci_lower","ci_upper"
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_26_t1",44,0.0503677882069393,0.145621276232117,0,0.187820423350781,1,0.00609487366549036,0.0946407027483883
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_19_t1",49,0.0435642039767747,0.148882633961155,0,0.0896277836632885,2,0.000800118455496879,0.0863282894980525
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_16_t1",50,0.0403253071104603,0.143042827705368,0,0.085594171826269,2,-0.000327014724622682,0.0809776289455432
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_18_t1",50,0.0401475422219973,0.145437539033835,0,0.0825457471286224,2,-0.00118534904245601,0.0814804334864507
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_27_t1",42,0.0379394885909609,0.115293706297672,0,0.0439210582824251,1,0.00201144049618285,0.0738675366857389
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_24_t1",46,0.0379051164359999,0.156503057857301,0,0.0356100091764959,2,-0.00857055490185452,0.0843807877738543
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_15_t1",50,0.0372640307546123,0.135661336904944,0,0.0785909565040972,2,-0.00129049460611958,0.0758185561153441
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_21_t1",48,0.0342400894692995,0.112446726659579,0,0.0892632994271911,2,0.00158896360901244,0.0668912153295866
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_30_t1",35,0.0339384502654587,0.0993755303173294,0,0.0720990690255516,1,-0.000198238767176125,0.0680751392980935
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_22_t1",47,0.0317617339279354,0.110026940468659,0,0.067531351943776,2,-0.000543386026471054,0.0640668538823419
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","t_PMVAmb_1",50,0.0307302428965927,0.18005945018601,0.000595096994968088,0.0124245983746407,30,-0.0204420866485614,0.0819025724417468
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_20_t1",49,0.028347474781358,0.111532961152022,0,0.0835552726291517,2,-0.0036885321205005,0.0603834816832164
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","t_PMVAmb_2",50,0.0272698737215438,0.179932365836229,0,0.00642807900449191,30,-0.0238663388510198,0.0784060862941074
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","t_PMVAmb_3",50,0.0272141097847933,0.186595354128688,0,0.00270625891831806,30,-0.0258157031086921,0.0802439226782786
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_25_t1",45,0.0258531253195254,0.0937939793509382,0,0.0445107296701103,2,-0.00232570564089525,0.054031956279946
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","c_r2b_emerg_1_facem_1_t2",50,0.0234421642101501,0.0162982760597175,0.00667396122366672,0.0400445261032929,1,0.018810245403977,0.0280740830163231
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","c_r2b_emerg_1_facem_1_t1",50,0.0210838936185513,0.0171521972864984,0.00657997497875109,0.0355950633040428,1,0.016209293084886,0.0259584941522165
