"i","dow_count","dow_rate_r1","dow_rate_r2b","dow_rate_r2e","dow_rate_r2e_postop","dow_rate_ame_wait","time_to_surgery_mean","time_to_surgery_p90","r2b_dwell_mean","r2b_r2e_transit_mean","r2e_dwell_mean","ot_util_r2b","ot_util_r2e","r2b_surgery_count","r2e_surgery_count","r2b_ot_q","r2e_ot_q","r2e_icu_q","r2b_hold_q","r2e_hold_q","transport_q","rtd_rate_r1","rtd_rate_r2b","rtd_rate_r2e","r2b_bypass_rate","total_rtd","role4_peak_occupancy","role4_mean_occupancy","ame_sortie_demand","ame_wait_critical_mean","ame_wait_standard_mean","ame_backlog_critical_mean","ame_backlog_critical_peak","ame_backlog_standard_mean","ame_backlog_standard_peak","ame_sorties_flown","system_ot_q","transport_util"
697,3.6,0.000979431929480901,0.00424420502775057,0.000652954619653934,0,0,3363.15418146436,9774.20079459141,4224.96563371783,31.5414532527268,9119.50802867187,0.108096236593926,0.467636197023243,74.2,200.4,0,1.76513465809486,0.360541246238143,1.89578292600081,3.23365667792049,0.0705861051737107,0.19164218086843,0.0538687561214496,0.00555011426705844,0.224420576596947,153.8,22.75,9.06,17,12280.9561911943,12315.0453025215,14.1732271263272,21,5.54357715590484,9.4,1.6,1.76513465809486,0.10720950399384
698,3.6,0.000979431929480901,0.00424420502775057,0.000652954619653934,0,0,3363.15418146436,9774.20079459141,4224.96563371783,31.5414532527268,9119.50802867187,0.108096236593926,0.467636197023243,74.2,200.4,0,1.76513465809486,0.360541246238143,1.89578292600081,3.23365667792049,0.0705861051737107,0.19164218086843,0.0538687561214496,0.00555011426705844,0.224420576596947,153.8,22.75,9.02666666666667,17,12280.9561911943,12315.0453025215,14.1732271263272,21,5.54357715590484,9.4,1.6,1.76513465809486,0.10720950399384
699,2,0.000664451827242525,0.000996677740863787,0.00166112956810631,0,0,1532.72587890573,4067.20635820292,1995.61642175875,31.7952500022578,9452.90203629899,0.120501187243172,0.630562461858914,85.4,234,0,2.54303477495781,0.803388790238952,0.418294496025671,3.40565694874906,0.0614273399003861,0.189036544850498,0.0428571428571429,0.00963455149501661,0.253768844221106,145.4,24.2,11.42,18.2,12216.3318000704,13545.2200531147,14.7418510682428,19.6,1.1868717878875,2.25,1.8,2.54303477495781,0.164836146025203
700,1.4,0.00069589422407794,0.00069589422407794,0.00104384133611691,0,0,1576.26788799978,4702.25297220898,2510.56153884091,31.7097987784802,9321.69216234242,0.102097292917245,0.418999818617621,71.6,181.6,0,1.12578776448026,0.287522529740658,0.490322189229929,2.66948219587923,0.049393433352462,0.262004175365344,0.0434933890048713,0.00730688935281837,0.200527704485488,179.8,19,4.82666666666667,15.6,20673.3313498506,16053.9470548579,12.4517568434982,17.8,2.41883423341458,3.8,1.2,1.12578776448026,0.0942289730377852
701,1.6,0,0.00236646382691007,0.000338066260987153,0,0,1364.12618629011,3803.88181183066,2111.93245174056,31.7867750587324,9278.91130793885,0.104812898692164,0.455953440279421,73.2,185,0,1.25779083054788,0.629952303577956,0.344363084060295,2.57264034336941,0.0546015854891667,0.266734279918864,0.0415821501014199,0.00845165652467884,0.21256345177665,187.4,29.3333333333333,8.14,16,8918.95481627968,11712.7976052861,15.9758750951999,23.6,1.31574264276659,2,1,1.25779083054788,0.125861322228195
702,1.4,0,0.0019672131147541,0.000327868852459016,0,0,1440.68575298279,3910.07610838,2083.50370773301,31.800739688369,9330.9683594643,0.110004167457842,0.474226000677799,78,192,0,1.49187262014424,0.689685123960331,0.370101418593194,2.7035480769471,0.058652983962664,0.266229508196721,0.040655737704918,0.00819672131147541,0.205395462906193,192.2,24.3333333333333,7.04666666666667,16.6,10296.0924624033,11712.7976052861,16.0923124728728,24,1.26669103888229,2,1.2,1.49187262014424,0.129945417686735
703,1.8,0,0.00237691001697793,0.00067911714770798,0,0,1288.0784876808,4007.66182704179,1900.60172828256,31.7822102656272,9198.81822886155,0.102801513060576,0.48319165641654,71.8,192.2,0,1.43207810965718,0.449253695059908,0.217641579566084,2.6301957199748,0.055387754112073,0.246519524617997,0.0135823429541596,0.0247877758913413,0.193482688391039,167.8,26,12.52,17.6,9486.7182022274,8615.4031072574,11.5846350550735,18.6,1.45437552858908,2,2,1.43207810965718,0.125071745147222
704,1,0,0.00174459176552687,0,0,0,1098.61860218973,3380.50240241743,1991.91249268265,31.821251935813,8847.69125794314,0.0912505329065002,0.447134095695735,63,165.6,0,1.27558928914832,0.421885312668549,0.154096327245477,2.0172248402834,0.0318726065507511,0.348569434752268,0.0125610607117934,0.0202372644801117,0.13130659767141,218.6,36,10.0066666666667,17,8534.1752239873,7614.54376831461,15.3669243230859,22.4,1.72373445148413,2.6,1.2,1.27558928914832,0.13943245007213
705,0.8,0,0.00102739726027397,0.000342465753424658,0,0,1054.90034498376,3148.85718515895,1935.64260075684,31.8508310300229,8713.39843001557,0.0904554975521768,0.44844565738502,64.8,172.6,0,1.22846562137257,0.535873702138786,0.145014662052332,1.80054619407834,0.0330558207434905,0.341780821917808,0.0126712328767123,0.0222602739726027,0.119138149556401,220,36.6,16.2866666666667,20,8556.88270210077,7404.82879161361,13.0720009799049,20.2,1.29707244571572,2.4,2,1.22846562137257,0.141144205106498
706,0.2,0,0.000336587007741501,0,0,0,1209.80920172168,3721.6495532134,1782.73266801599,31.827095402666,9183.19185958058,0.0942243465644881,0.434011783861879,67.4,162,0,1.65435764616219,0.495301346394109,0.172893973802467,2.19205689554906,0.0336204876693498,0.359811511275665,0.011443958263211,0.0185122854257826,0.141891891891892,231.6,23.8,11.4066666666667,18.6,9973.69955153446,13252.8268351992,10.9104006452702,17.6,1.17184235051689,2.6,2,1.65435764616219,0.168658355652827
707,0.8,0,0.000731261425959781,0.00036563071297989,0.00036563071297989,0,1013.97726936251,2451.36170245482,1815.71365196125,31.9218484011205,8840.44987868731,0.087848046610083,0.470889325826431,62.2,151,0,1.21285350948881,0.426125413369545,0.090964561346383,1.63517593073199,0.0358390665343146,0.33491773308958,0.0124314442413163,0.023400365630713,0.109179415855355,202.8,27.8,13.1066666666667,16.4,7694.36842603511,8274.01910971069,9.38715538231077,16.8,1.36402883378069,2.8,2,1.21285350948881,0.110089097252273
708,0.8,0.000343878954607978,0,0.00103163686382393,0,0,1210.53631142778,3732.88030301797,1985.19683101285,31.7332071635707,8912.22452215456,0.0885676793837649,0.416297568440607,60.6,157.8,0,1.01672272828031,0.283106727641808,0.185703455389675,1.88875530799608,0.0305942158566568,0.357290233837689,0.00859697386519945,0.0233837689133425,0.13202614379085,226.4,21.8,10.2666666666667,16.8,9150.75723183658,10297.3657367998,8.2194955578485,16.4,1.37647536917735,2.8,2,1.01672272828031,0.111951519662946
709,0.8,0.000343878954607978,0,0.00103163686382393,0,0,1210.53631142778,3732.88030301797,1985.19683101285,31.7332071635707,8912.22452215456,0.0885676793837649,0.416297568440607,60.6,157.8,0,1.01672272828031,0.283106727641808,0.185703455389675,1.88875530799608,0.0305942158566568,0.357290233837689,0.00859697386519945,0.0233837689133425,0.13202614379085,226.4,21.8,10.2666666666667,16.8,9150.75723183658,10297.3657367998,8.2194955578485,16.4,1.37647536917735,2.8,2,1.01672272828031,0.111951519662946
710,2,0,0.000993377483443709,0.00231788079470199,0,0,1814.02778205996,5593.05439305878,2313.50723866864,31.262773830857,9114.65283164902,0.0920941532837856,0.458862935531247,66.8,156.2,0,1.4884131719196,0.551410672045016,0.375131461559409,2.0967971571068,0.0342857634987914,0.347682119205298,0.0122516556291391,0.0225165562913907,0.154375,231,23.4,11.0133333333333,17.4,9262.89711940007,12534.2605343348,9.74343707396604,18,1.26634788938569,2.8,2,1.4884131719196,0.147069429820424
711,1,0,0.000694444444444444,0.00104166666666667,0,0,955.803961412256,2759.92710857105,1913.13743012755,31.5786980691208,8924.0630117658,0.0940934268038773,0.425473926290329,64.4,149.2,0,0.937897481738412,0.214122271748408,0.117764547439965,1.73859410885905,0.0277099329557235,0.317361111111111,0.0135416666666667,0.0253472222222222,0.148521505376344,205.2,27.4,13.2666666666667,17.8,8609.41958058629,11412.9912173201,8.40032266189793,16,1.71805608424385,3.4,2,0.937897481738412,0.142188536805098
712,1.6,0,0.000661157024793388,0.00165289256198347,0.000330578512396694,0,1004.71788597592,3283.96096761358,2049.99555974165,31.7489121820335,8841.1373602782,0.0936837053408824,0.32828389423413,63,142.4,0,0.814593013776675,0.314449949855554,0.174374935003603,1.6410721691509,0.0264646105189524,0.349421487603306,0.0128925619834711,0.0228099173553719,0.119684082624544,233,23.4,11.5866666666667,16.4,10757.2682712515,10438.6446483633,10.5124870340212,19.4,1.25218152171394,3,2,0.814593013776675,0.17065090574713
713,1.6,0,0.000661157024793388,0.00165289256198347,0.000330578512396694,0,1004.71788597592,3283.96096761358,2049.99555974165,31.7489121820335,8841.1373602782,0.0936837053408824,0.32828389423413,63,142.4,0,0.814593013776675,0.314449949855554,0.174374935003603,1.6410721691509,0.0264646105189524,0.349421487603306,0.0128925619834711,0.0228099173553719,0.119684082624544,233,23.4,11.5866666666667,16.4,10757.2682712515,10438.6446483633,10.5124870340212,19.4,1.25218152171394,3,2,0.814593013776675,0.17065090574713
714,1.6,0,0.000661157024793388,0.00165289256198347,0.000330578512396694,0,1004.71788597592,3283.96096761358,2049.99555974165,31.7489121820335,8841.1373602782,0.0936837053408824,0.32828389423413,63,142.4,0,0.814593013776675,0.314449949855554,0.174374935003603,1.6410721691509,0.0264646105189524,0.349421487603306,0.0128925619834711,0.0228099173553719,0.119684082624544,233,23.4,11.5866666666667,16.4,10757.2682712515,10438.6446483633,10.5124870340212,19.4,1.25218152171394,3,2,0.814593013776675,0.17065090574713
