"i","dow_count","dow_rate_r1","dow_rate_r2b","dow_rate_r2e","dow_rate_r2e_postop","dow_rate_ame_wait","time_to_surgery_mean","time_to_surgery_p90","r2b_dwell_mean","r2b_r2e_transit_mean","r2e_dwell_mean","ot_util_r2b","ot_util_r2e","r2b_surgery_count","r2e_surgery_count","r2b_ot_q","r2e_ot_q","r2e_icu_q","transport_q","rtd_rate_r1","rtd_rate_r2b","rtd_rate_r2e","r2b_bypass_rate","total_rtd","role4_peak_occupancy","role4_mean_occupancy","ame_sortie_demand","ame_wait_critical_mean","ame_wait_standard_mean","ame_backlog_critical_mean","ame_backlog_critical_peak","ame_backlog_standard_mean","ame_backlog_standard_peak","ame_sorties_flown","system_ot_q","transport_util"
365,4.6,0.000449640287769784,0.00449640287769784,0.000224820143884892,0,0,4081.71266950818,8605.0647834909,5153.06823687226,24.8474534007329,6478.49149452799,0.129431724833642,0.583340708348945,55.8,182,0,2.11331628290662,0.677813069172075,0.169180694771592,0.256969424460432,0.0613758992805755,0.0159622302158273,0.196933397220891,297.4,63.6,30.7733333333333,29,7049.20872390492,8497.18800357324,13.1618509698073,27.6,22.6947356857936,44.2,1.4,2.11331628290662,0.144596947336176
366,4.6,0.000449640287769784,0.00449640287769784,0.000224820143884892,0,0,4081.71266950818,8605.0647834909,5153.06823687226,24.8474534007329,6478.49149452799,0.129431724833642,0.583340708348945,55.8,182,0,2.11331628290662,0.677813069172075,0.169180694771592,0.256969424460432,0.0613758992805755,0.0159622302158273,0.196933397220891,297.4,63.6,30.7733333333333,29,7049.20872390492,8497.18800357324,13.1618509698073,27.6,22.6947356857936,44.2,1.4,2.11331628290662,0.144596947336176
367,4.2,0,0.004911131898971,0,0,0,3946.22582386221,8368.99185446506,5175.17929851722,25.3863756246229,6310.39515621995,0.125124118736852,0.551783276537242,57.2,178.6,0,1.54381005278261,0.215221833203058,0.154827405022112,0.266838166510758,0.0640785781103835,0.0170720299345182,0.168710152035311,297.6,70.4,34.4466666666667,28,6061.63697172425,7986.41970473215,10.0680210077254,18.6,20.1837023874924,42.4,1.8,1.54381005278261,0.139694183725606
368,5.2,0,0.00570776255707763,0.000228310502283105,0,0,3904.33164118656,8218.40283455322,5222.13620085381,25.1012539481022,6736.66468425368,0.119419939756459,0.582216978365314,53.4,181.8,0,1.84539225511654,0.21790834166295,0.145732846598249,0.265296803652968,0.0648401826484018,0.017351598173516,0.204021579205493,304.4,61.8,29.1333333333333,28.2,7213.2959720549,7414.7168031136,10.3941453379119,20,18.5353304059205,37.6,1.6,1.84539225511654,0.140232633508085
369,5.6,0.000233644859813084,0.00630841121495327,0,0,0,3389.76188140418,7562.30701087331,4978.83038487141,24.9397404589021,6384.64914592069,0.120805739310378,0.552777659229378,54.8,172.4,0,1.1175942080892,0.124827910769663,0.145960325111331,0.26588785046729,0.0663551401869159,0.0182242990654206,0.179141716566866,300,56.2,26.1066666666667,28.4,6963.68250329349,9327.80521265119,10.7327253312003,21,22.8610708992415,46.6,1.6,1.1175942080892,0.13873557678383
370,5,0.000921658986175115,0.00460829493087558,0.000230414746543779,0,0,4302.93831621024,9316.38197645988,4830.26589913724,24.9775674450948,7094.16956157532,0.143832222890988,0.714380212121756,67.6,206.6,0,3.55655408215201,0.616649234935852,0.176972049391213,0.258294930875576,0.0624423963133641,0.0152073732718894,0.153428712382832,291.6,64.6,30.4533333333333,27,6774.00676014859,6173.42440097073,13.809105195795,27.4,11.6878314105077,24.2,1.8,3.55655408215201,0.139595998640053
371,5,0.000452284034373587,0.00520126639529625,0,0,0,4259.22963682733,9141.55692387609,4816.14611447567,24.8644795369723,7119.36489057303,0.150022059598936,0.721066163332991,69,208.2,0,3.93049766320379,0.651842542095597,0.178629575683013,0.262777023971054,0.0606060606060606,0.0149253731343284,0.147956787224049,299.2,63.2,29.4333333333333,26.6,6760.04848802414,6100.68389965239,14.3008333244716,28.6,11.738011955496,26.6,1.6,3.93049766320379,0.142598636413132
372,4.8,0,0.00496336563460175,0.000709052233514536,0,0,4160.25448164029,9333.54611103862,4881.56493829629,31.6695582241023,7200.17869724238,0.150084521172581,0.698016991136549,61.4,201,0,3.72910074233062,0.467072654779747,0.171450054395688,0.262349326400378,0.0574332309146774,0.0158354998818246,0.190073917634636,284,57.2,24.6866666666667,27.4,8676.32093323782,9979.57118964437,16.4530320259537,29.8,16.2677239053364,32.8,1.2,3.72910074233062,0.135051803212861
373,7.4,0,0.00812274368231047,0.000225631768953069,0,0,3721.02261514546,8423.28382974307,4832.25612039626,31.8808523578534,7243.47397375832,0.131441089449038,0.576314929246245,71.8,207.2,0,1.91767548995556,0.676277115510125,0.159633275373897,0.262635379061372,0.0625,0.0151173285198556,0.155053974484789,301.6,67.75,26.5933333333333,28,5103.50402028032,6050.25952983604,15.870651998777,28.8,15.8851142298133,31.4,1.2,1.91767548995556,0.142399444349033
374,4.4,0,0.0048834628190899,0,0,0,3766.03379886302,8346.87566210777,4969.23298725303,31.5608413631292,7060.14085303414,0.139927275224654,0.603278144481975,70,215.2,0,1.84294848415646,0.462136532531061,0.158235625080912,0.239289678135405,0.0579356270810211,0.0197558268590455,0.19541910331384,285.6,58.2,26.7733333333333,28.8,6081.93215571691,8706.72233159731,12.7679101087567,30,18.8041162633363,36.6,1.6,1.84294848415646,0.150714661657575
375,5.6,0.000468933177022274,0.00609613130128957,0,0,0,4039.41941153429,8656.37136302893,4860.97830860271,31.4549171014686,7111.12561448255,0.156591840119873,0.664706709840166,71.6,212.2,0,3.24910385377412,1.20591234318911,0.163264066278882,0.252989449003517,0.0656506447831184,0.0180539273153576,0.150925486473659,287.2,62.8,33.9533333333333,27.4,4454.81954574421,6077.39049451739,16.3151140106936,28.8,11.7384009275233,26.6,1.6,3.24910385377412,0.141654509507245
376,4.6,0.000468713381767049,0.00445277712678697,0.000234356690883525,0,0.000234356690883525,4305.31506438751,9332.13814299809,4837.05869914065,31.5597425128202,7143.73056087997,0.146402256753085,0.651152123257034,69,211.8,0,3.30145868634057,0.819210011675274,0.211764646126386,0.229435200374971,0.0611670963206,0.0178111085071479,0.178814382896016,263.2,59,27.6866666666667,28,6907.97025910573,7921.93407367789,14.6471447999146,30,17.9131539513302,37.4,1.8,3.30145868634057,0.144807254229643
377,3.6,0.000237755587256301,0.00380408939610081,0.000237755587256301,0,0,3807.77899788389,8523.79916339479,4471.72558352807,31.8218410025224,7509.73144477813,0.148932455768415,0.656978970079588,75,218.4,0,2.87563937602659,0.585517652640677,0.196925256155597,0.236329053732763,0.0615786970993818,0.0183071802187351,0.172195121951219,266,59.6,31.04,27,4516.14642539792,5407.24843824555,12.492652325062,23.8,12.1249877196595,27.4,1.8,2.87563937602659,0.143493197505924
378,3.6,0.000237755587256301,0.00380408939610081,0.000237755587256301,0,0,3807.77899788389,8523.79916339479,4471.72558352807,31.8218410025224,7509.73144477813,0.148932455768415,0.656978970079588,75,218.4,0,2.87563937602659,0.585517652640677,0.196925256155597,0.236329053732763,0.0615786970993818,0.0183071802187351,0.172195121951219,266,59.6,30.8933333333333,27,4516.14642539792,5407.24843824555,12.492652325062,23.8,12.1249877196595,27.4,1.8,2.87563937602659,0.143493197505924
379,3.8,0.000641299700726806,0.00320649850363403,0.000213766566908935,0,0,4129.81389468826,8834.69566691964,4593.6632701204,31.9109602209168,7574.33469503963,0.169407260063314,0.77487883272873,83.6,241.2,0,3.89327560978638,1.16762259505196,0.203516562682874,0.224668661821291,0.0583582727661394,0.0115433946130825,0.161849710982659,275.6,60.8,24.7666666666667,27.6,10555.0792886456,10962.6320812519,16.6667041655967,30,22.0654169688487,42.4,1.6,3.89327560978638,0.156498282639704
380,5,0.000217438573602957,0.00434877147205914,0.000652315720808871,0,0.000217438573602957,3920.75062636112,8569.03230315289,4724.33629638206,31.8420392449815,7501.70021980489,0.151766626749402,0.641192526299054,74,219.2,0,3.05496202139272,0.934704236479357,0.187566971570424,0.240704500978474,0.060665362035225,0.0176125244618395,0.188929551692589,293.4,53.4,25.5066666666667,28.6,8475.49052867329,9532.89166627232,15.4300018676465,30.2,21.7784597929021,37.6,1.8,3.05496202139272,0.150897667906126
381,3.8,0,0.00399378744175727,0.000221877080097626,0,0,4367.74885853817,9057.13276176226,4862.1283005533,31.8728003149326,7637.53338307063,0.152525286099586,0.674514696375408,75.4,219.2,0,2.68657093525042,0.776139044072309,0.145397529113724,0.229420900820945,0.0576880408253827,0.0150876414466386,0.181608133086876,272.4,58.6666666666667,18.04,27.2,6655.02170659074,8590.42103125075,17.1509862703133,26.6,23.5029154091003,48.2,1,2.68657093525042,0.131281350328845
382,6.6,0.000624089868941127,0.00603286873309757,0.000208029956313709,0,0,4881.07066577934,10046.451293859,4305.58680934423,31.590454517306,7660.58214837005,0.194113800865665,0.813867788734333,94.2,250.8,0,7.9436930279341,1.487370903553,0.261186645324069,0.268358643644685,0.0555439983357603,0.0158102766798419,0.156895403064624,326.6,50.8,27.1333333333333,29,7577.30399265043,9260.02887319917,19.0071654106792,32.8,32.6847261544731,61.6,1.8,7.9436930279341,0.126795580980019
383,6.6,0.000829015544041451,0.00559585492227979,0.000414507772020725,0,0,4843.10399796081,10014.7148988267,4265.75002768158,31.4739071484755,7684.24767022581,0.19357419832876,0.800803920685634,94.2,259.2,0,7.75077309424104,1.78126411502859,0.25503955662167,0.270673575129534,0.0547150259067357,0.0149222797927461,0.155651024454726,328.4,55.2,28.7533333333333,29,7093.81944709265,8585.42713826293,20.6363164356239,36,30.2723301777984,59.2,1.6,7.75077309424104,0.126511698708335
384,8.2,0.000818665575112567,0.00675399099467867,0.000818665575112567,0,0,4420.70278222269,9899.60950336259,3885.63679587006,31.7372551784776,7877.79745743806,0.219707216439668,0.822653772600723,100.6,274.2,0,7.59177870674096,2.4214760114423,0.264005875824036,0.276504297994269,0.0487106017191977,0.0124846500204666,0.198152277795476,330,57.2,27.4533333333333,28.2,9223.08414444575,10099.3459088269,25.1812199114193,45.2,29.2278704305043,55.2,1.6,7.59177870674096,0.130664428115907
385,6,0.000713266761768902,0.00594388968140751,0.000475511174512601,0,0,3297.05169658653,7869.43222615682,3866.36658952196,31.3533348493337,7589.81439958195,0.185709026198335,0.766006162363914,89.8,244.8,0,4.06406974887598,0.70944630174487,0.176719899126623,0.286257727056586,0.0608654303376129,0.016642891107941,0.220281048233954,306,59.4,27.6333333333333,27.8,8548.48499868733,10173.8047295668,14.9545611710425,26,25.5328790842293,45,1.8,4.06406974887598,0.132982652859499
386,6,0.000713266761768902,0.00594388968140751,0.000475511174512601,0,0,3297.05169658653,7869.43222615682,3866.36658952196,31.3533348493337,7589.81439958195,0.185709026198335,0.766006162363914,89.8,244.8,0,4.06406974887598,0.70944630174487,0.176719899126623,0.286257727056586,0.0608654303376129,0.016642891107941,0.220281048233954,306,59.4,27.6333333333333,27.8,8548.48499868733,10173.8047295668,14.9545611710425,26,25.5328790842293,45,1.8,4.06406974887598,0.132982652859499
387,6,0.000713266761768902,0.00594388968140751,0.000475511174512601,0,0,3297.05169658653,7869.43222615682,3866.36658952196,31.3533348493337,7589.81439958195,0.185709026198335,0.766006162363914,89.8,244.8,0,4.06406974887598,0.70944630174487,0.176719899126623,0.286257727056586,0.0608654303376129,0.016642891107941,0.220281048233954,306,62.2,28.72,27.8,8548.48499868733,10173.8047295668,14.9545611710425,26,25.5328790842293,45,1.8,4.06406974887598,0.132982652859499
388,6.8,0.000951927653498334,0.00642551166111375,0.000713945740123751,0,0,3340.41051698428,7941.56804986389,3814.44257521959,31.4498256182482,7559.67797882996,0.184529729015001,0.796472711437281,88.8,246.8,0,4.52831046539738,0.9141632802096,0.179988246955318,0.276297001427891,0.0602094240837696,0.0168967158495954,0.228780864197531,297,60.6,28.4533333333333,27.8,8562.71280582972,10286.4368778953,15.0680981332408,27,27.7662662117135,48.2,1.8,4.52831046539738,0.134267342090673
389,7,0.000432245515452777,0.00669980548951805,0.000432245515452777,0,0,3777.88565976308,8755.7942791295,3863.80265803339,31.6497830228945,7827.29913737815,0.202990142082554,0.741399233566038,97,234.8,0,4.77725326039848,1.50650171232571,0.180349302433661,0.2645342554571,0.0542468121893235,0.0121028744326778,0.211021505376344,306.2,55.2,27.5133333333333,27.8,10546.7254829263,11554.1354714307,23.4172919678894,42,28.1984547261019,51,1.8,4.77725326039848,0.121216860321613
390,6,0.000881251376955276,0.00506719541749284,0.000660938532716457,0,0,3556.92647076554,8001.42571632193,3813.98090662996,31.6371604783051,7388.32045904897,0.201679874034113,0.720574380811905,99.6,230.8,0,4.21992242186546,0.833095757321199,0.175710091682788,0.28354263053536,0.057281339502093,0.0118968935888962,0.234146341463415,320.2,67.75,28.7933333333333,27,8359.54159801192,8676.66813236458,21.2351193904993,34.4,32.5948981612282,60.8,1.6,4.21992242186546,0.116431082173396
391,4.8,0.00023623907394283,0.0047247814788566,0.00070871722182849,0,0,3029.28883313491,7757.21600759846,4056.83335174763,31.6493039796423,7603.91060585034,0.198041332441037,0.659038143416148,89.8,215,0,2.77423944976681,0.8331814928499,0.176337003011496,0.275927238365226,0.0592960075596504,0.0163004961020553,0.259521005104044,297.6,61,31.5466666666667,27.2,8199.0499083155,8531.5212394599,18.7818158897926,30,21.7385899295471,46.2,1.6,2.77423944976681,0.11053729400178
392,8,0.00107503762631692,0.00709524833369168,0.000430015050526768,0,0,4152.67061874657,8958.66443873088,3853.72524832329,31.827064886387,7693.74275313524,0.126080816775646,0.723104178087581,89.8,231.8,0,4.90263997704861,0.901804356149566,0.220896821907552,0.263814233498172,0.0511717910126854,0.01397548914212,0.194628531566097,306,54,23.0533333333333,27.6,12944.6108147333,12331.2875848045,22.0325897568468,41.6,30.2462276872907,58.8,1.2,4.90263997704861,0.148018420285101
393,5.4,0.000657894736842105,0.00394736842105263,0.00131578947368421,0,0,2251.81188658021,5002.45370186647,1975.00090856575,31.6703201158361,8355.28775351887,0.133858095155678,0.767140684690563,99.2,232,0,3.83907540887065,0.762407804022164,0.179921274226318,0.273245614035088,0.0173245614035088,0.0396929824561403,0.17752808988764,301.2,52,19.4533333333333,27.6,16526.6124855798,16448.3334545095,23.5603465052577,42.4,25.0345948556007,38.2,1.2,3.83907540887065,0.117614827636612
394,5,0.000650618087182824,0.00433745391455216,0.000216872695727608,0.000216872695727608,0,2201.49976821355,4792.44372092384,2095.6251980082,31.6599184321096,7509.08020009611,0.13451037667398,0.730036894224229,95.2,237.4,0,3.37662159475806,1.22841504819163,0.181531907166542,0.273910214703969,0.0199522880069399,0.0557362828019952,0.15190336749634,322.4,88.6,42.8733333333333,27.8,8598.83440441154,8174.7436560416,27.3135281695674,47.8,22.7958480084042,42.8,1.8,3.37662159475806,0.119258715229955
395,8.6,0.000876232201533406,0.00854326396495071,0,0,0,2248.01487839116,5147.4193497621,2183.73027585637,31.5327356380594,7575.06808993524,0.135515661731181,0.705163207546359,96,231.8,0,3.1560559890425,0.802919786811908,0.180637026020705,0.28302300109529,0.0225629791894852,0.0481927710843374,0.140974002196997,323,83.25,33.3933333333333,26.6,8279.42379669866,8187.27132230714,24.4667551034354,41,26.5102045343556,48.8,1.4,3.1560559890425,0.118740989150041
396,2,0,0.00196511913534758,0.000491279783836895,0,0,3401.86993787922,7510.86568106464,4026.88384361395,35.1101970060529,6187.89793068473,0.107500422134371,0.763311741392022,59.6,199.8,0,4.1680301388232,0.210747566346591,0.129429340526014,0.214443625644805,0.0292311471382953,0.0248096290837632,0.227301189730745,218.6,88.4,25.0133333333333,28.4,11853.2199113076,13102.1554576174,15.3766980534202,27.8,29.3772022992581,59.6,1.6,4.1680301388232,0.129079462684186
397,2,0,0.00196511913534758,0.000491279783836895,0,0,3401.86993787922,7510.86568106464,4026.88384361395,35.1101970060529,6187.89793068473,0.107500422134371,0.763311741392022,59.6,199.8,0,4.1680301388232,0.210747566346591,0.129429340526014,0.214443625644805,0.0292311471382953,0.0248096290837632,0.227301189730745,218.6,88.4,25.0133333333333,28.4,11853.2199113076,13102.1554576174,15.3766980534202,27.8,29.3772022992581,59.6,1.6,4.1680301388232,0.129079462684186
398,2,0,0.00196511913534758,0.000491279783836895,0,0,3401.86993787922,7510.86568106464,4026.88384361395,35.1101970060529,6187.89793068473,0.107500422134371,0.763311741392022,59.6,199.8,0,4.1680301388232,0.210747566346591,0.129429340526014,0.214443625644805,0.0292311471382953,0.0248096290837632,0.227301189730745,218.6,88,23.8,28.4,11853.2199113076,13102.1554576174,15.3766980534202,27.8,29.3772022992581,59.6,1.6,4.1680301388232,0.129079462684186
399,2,0,0.00196511913534758,0.000491279783836895,0,0,3401.86993787922,7510.86568106464,4026.88384361395,35.1101970060529,6187.89793068473,0.107500422134371,0.763311741392022,59.6,199.8,0,4.1680301388232,0.210747566346591,0.129429340526014,0.214443625644805,0.0292311471382953,0.0248096290837632,0.227301189730745,218.6,88,23.8,28.4,11853.2199113076,13102.1554576174,15.3766980534202,27.8,29.3772022992581,59.6,1.6,4.1680301388232,0.129079462684186
