"response","estimator","parameter","S1","S1_lower","S1_upper","ST","ST_lower","ST_upper","flag"
"system_ot_q","sobol2007","mass_casualty_rate",0.408666009725007,0.0150539976796336,0.697024857775927,0.57298005070291,0.325741109463247,0.831860008264377,"ok"
"system_ot_q","sobol2007","mass_casualty_max_cas",0.108063662762337,-0.05968071995315,0.241079267145571,0.104263397657859,-0.0936763955783446,0.305923433153256,"S1>ST"
"system_ot_q","sobol2007","mass_casualty_min_cas",0.0552297786377855,-0.0902753285852449,0.166978401116955,0.160051347572582,0.0191798727935614,0.311116812190517,"ok"
"system_ot_q","sobol2007","pri1_dcs_rate",0.249888963390569,0.0100959915587985,0.426548902635326,-0.0339251538648824,-0.264443419370352,0.185383444778049,"S1>ST"
"system_ot_q","soboljansen","pri1_surg_prob",0.265693668095648,0.0218287133200817,0.602083155388703,0.224794771128946,0.143494262940272,0.291865564895906,"S1>ST"
"system_ot_q","soboljansen","mass_casualty_rate",0.486060314160664,0.304187741322535,0.752761080523634,0.596810750130338,0.368803965463358,0.767407429529828,"ok"
"system_ot_q","soboljansen","mass_casualty_max_cas",0.108582170590206,-0.155347912273805,0.457350014221549,0.206898011487581,0.116462550633348,0.274063237093233,"ok"
"system_ot_q","soboljansen","mass_casualty_min_cas",0.184730566090154,-0.0528560499683721,0.520766908982193,0.133696278104144,0.0683783260303144,0.176855002781281,"S1>ST"
"system_ot_q","soboljansen","pri1_dcs_rate",0.0763152185551724,-0.170708012909097,0.396067821484721,0.242792597968692,0.124936029621798,0.323000735571286,"ok"
"system_ot_q","sobolmartinez","pri1_surg_prob",0.22908194364873,0.0696195144856004,0.415352390271382,0.237790981188807,0.147701171037297,0.313163561996515,"ok"
"system_ot_q","sobolmartinez","mass_casualty_rate",0.494759186966898,0.373630839880344,0.621329447399269,0.604089808233819,0.446607415478614,0.756358007224261,"ok"
"system_ot_q","sobolmartinez","mass_casualty_max_cas",0.187173055370368,0.0320048448052391,0.371374678501494,0.19173041408933,0.122831930554367,0.255097345903311,"ok"
"system_ot_q","sobolmartinez","mass_casualty_min_cas",0.20473807647575,0.0441256187092305,0.385995054126643,0.134459207435278,0.0717518925153973,0.177946079381108,"S1>ST"
"system_ot_q","sobolmartinez","pri1_dcs_rate",0.238138051269369,0.077261525834772,0.433892583460292,0.19324732675679,0.106674455118326,0.256255872126223,"S1>ST"
"transport_q","sobol2007","pri1_surg_prob",0.00227676685844765,-0.0573258993953706,0.0658751053573097,0.0425626263980643,-0.127085472239411,0.175847445848329,"ok"
"transport_q","sobol2007","mass_casualty_rate",0.604787307103577,0.0476249595748865,0.940360615904625,0.660280778687234,0.378944810589727,0.944137996515633,"ok"
"transport_q","sobol2007","mass_casualty_max_cas",0.284762395368006,-0.0990264882653595,0.53716519632606,0.386826267701636,0.15110872728154,0.676714925339671,"ok"
"transport_q","sobol2007","mass_casualty_min_cas",0.0539213075922518,-0.0929467829658082,0.167958459118656,0.0992691825205375,-0.110076195618958,0.320178581283448,"ok"
"transport_q","sobol2007","pri1_dcs_rate",0.00053245792666996,-0.0777692458703892,0.0675437211671804,0.0560552064348131,-0.111540318904728,0.23143073207482,"ok"
"transport_q","soboljansen","pri1_surg_prob",0.0519989547830139,-0.123417808889089,0.343911829045835,0.084684755232133,0.0149704022846846,0.133535758856755,"ok"
"transport_q","soboljansen","mass_casualty_rate",0.545004402562215,0.401195254781693,0.788843217108199,0.808849782712709,0.471722355608508,1.05636742290824,"ok"
"transport_q","soboljansen","mass_casualty_max_cas",0.347867080252427,0.172307788757831,0.63229787759292,0.413995099400881,0.223392291839801,0.524417184303653,"ok"
"transport_q","soboljansen","mass_casualty_min_cas",0.00122412320463837,-0.262588249422865,0.373213737119838,0.243539127033061,0.0439416203389519,0.369366311480706,"ok"
"transport_q","soboljansen","pri1_dcs_rate",0.0704926065023006,-0.125925907362219,0.363773464408204,0.0779099303293338,0.0114504923633568,0.12324827001107,"ok"
"transport_q","sobolmartinez","pri1_surg_prob",0.0107759570205364,-0.11704532827074,0.140045093988856,0.0825641148021964,0.0231550201034008,0.129782486732601,"ok"
"transport_q","sobolmartinez","mass_casualty_rate",0.54266915065419,0.44458867790557,0.643372050741841,0.766592100015045,0.611982752321821,0.922468908614329,"ok"
"transport_q","sobolmartinez","mass_casualty_max_cas",0.305065798423624,0.161820533492908,0.476881118375712,0.413732604272524,0.319719751678878,0.512959438785622,"ok"
"transport_q","sobolmartinez","mass_casualty_min_cas",0.0338509869764823,-0.10915375858505,0.165113350542385,0.218143108961044,0.109118336362826,0.319253675492444,"ok"
"transport_q","sobolmartinez","pri1_dcs_rate",0.0303596629265806,-0.101447070485807,0.15535081490466,0.0761150307974234,0.0253718769620175,0.119503335903488,"ok"
"transport_util","sobol2007","pri1_surg_prob",-0.180885206462843,-0.746859106443145,0.25049515796195,0.709500387801287,0.138587005250681,1.38918093098582,"S1<0"
"transport_util","sobol2007","mass_casualty_rate",-0.243132752063958,-1.08335904980597,0.399673974495165,1.44142020074869,0.812282960060752,2.20596160423595,"ST>1;S1<0"
"transport_util","sobol2007","mass_casualty_max_cas",0.302603211731139,-0.25650807978234,0.748191896284599,-0.100988960641826,-0.566943962599216,0.48991994823776,"S1>ST"
"transport_util","sobol2007","mass_casualty_min_cas",-0.0293182385601982,-0.555851115795848,0.445237760512081,0.16737360606253,-0.324828940694667,0.68772322042332,"S1<0"
"transport_util","sobol2007","pri1_dcs_rate",0.00219303784587146,-0.594565166092812,0.422068115817095,0.386819941995974,-0.16396604870512,1.10317912462174,"ok"
"transport_util","soboljansen","pri1_surg_prob",0.193810193201028,-0.0608093435504831,0.557287133616325,0.431528183664282,0.26784657004799,0.574472802131129,"ok"
"transport_util","soboljansen","mass_casualty_rate",0.465301880910472,0.252629117444467,0.80099772198274,0.828030386691232,0.63458434073446,0.954944675667502,"ok"
"transport_util","soboljansen","mass_casualty_max_cas",-0.0597797665599998,-0.324850691925379,0.309283716036676,0.35893676437981,0.149085272667,0.501527775573539,"S1<0"
"transport_util","soboljansen","mass_casualty_min_cas",-0.0410427466969848,-0.295569190791142,0.289112678062257,0.2768001563774,0.149447596868385,0.372268944490353,"S1<0"
"transport_util","soboljansen","pri1_dcs_rate",0.136123842379157,-0.117600942554422,0.495890632123607,0.349962213193806,0.196792536315763,0.476977903208221,"ok"
"transport_util","sobolmartinez","pri1_surg_prob",0.0841667118176561,-0.0523500775674571,0.202874823432251,0.456528824546242,0.295091546151443,0.598254651068174,"ok"
"transport_util","sobolmartinez","mass_casualty_rate",0.334764130270613,0.188770233514827,0.466043429693443,0.955247961440253,0.849960026153155,1.06035522643775,"ok"
"transport_util","sobolmartinez","mass_casualty_max_cas",0.0146063952448937,-0.128377091056782,0.144476316266559,0.311869513718049,0.1775516764552,0.416602277458867,"ok"
"transport_util","sobolmartinez","mass_casualty_min_cas",-0.0966108626349165,-0.189784318513126,-0.00774462800148093,0.27492988758805,0.162160526922464,0.369468810180517,"S1<0"
"transport_util","sobolmartinez","pri1_dcs_rate",0.0921518818052082,-0.0955687177694081,0.269559991519583,0.346584286586705,0.191541381992769,0.463045125926168,"ok"
